dataset_id	variable_or_event_category	source_table	window_hours	n_stays_with_records	n_records	median_records_per_recorded_stay	mean_records_per_recorded_stay
MIMIC-IV-2.2	cam_icu_delirium	chartevents	24	19239	113275	5.0	5.887780030147097
MIMIC-IV-2.2	cam_icu_delirium	chartevents	48	19518	175696	8.0	9.001741981760427
MIMIC-IV-2.2	cam_icu_delirium	chartevents	72	19563	216216	9.0	11.052292593160558
MIMIC-IV-2.2	glucose_check	chartevents	24	25658	173127	4.0	6.7474861641593264
MIMIC-IV-2.2	glucose_check	chartevents	48	25704	249899	7.0	9.722183317771552
MIMIC-IV-2.2	glucose_check	chartevents	72	25707	296445	8.0	11.531683977126853
MIMIC-IV-2.2	mobility_turning	chartevents	24	26131	1091897	42.0	41.78550380773794
MIMIC-IV-2.2	mobility_turning	chartevents	48	26137	1783093	69.0	68.22102766193518
MIMIC-IV-2.2	mobility_turning	chartevents	72	26139	2226965	77.0	85.19702360457553
MIMIC-IV-2.2	moisture_hygiene	chartevents	24	26047	392862	15.0	15.08281184013514
MIMIC-IV-2.2	moisture_hygiene	chartevents	48	26072	628940	23.0	24.12319729978521
MIMIC-IV-2.2	moisture_hygiene	chartevents	72	26077	780045	26.0	29.913141849139087
MIMIC-IV-2.2	nutrition	chartevents	24	26020	192189	7.0	7.38620292083013
MIMIC-IV-2.2	nutrition	chartevents	48	26055	277385	10.0	10.646133179811937
MIMIC-IV-2.2	nutrition	chartevents	72	26060	332740	11.0	12.768227168073675
MIMIC-IV-2.2	oral_suction_airway	chartevents	24	21245	170661	6.0	8.032995999058603
MIMIC-IV-2.2	oral_suction_airway	chartevents	48	22482	268550	8.0	11.945111644871453
MIMIC-IV-2.2	oral_suction_airway	chartevents	72	22710	327877	9.0	14.437560546014971
MIMIC-IV-2.2	orientation	chartevents	24	26217	1047579	36.0	39.958004348323605
MIMIC-IV-2.2	orientation	chartevents	48	26220	1620991	55.0	61.822692601067885
MIMIC-IV-2.2	orientation	chartevents	72	26221	1973840	63.0	75.27706799893215
MIMIC-IV-2.2	pain	chartevents	24	26117	1235931	42.0	47.32285484550293
MIMIC-IV-2.2	pain	chartevents	48	26125	1977202	68.0	75.68237320574163
MIMIC-IV-2.2	pain	chartevents	72	26127	2421139	80.0	92.66808282619512
MIMIC-IV-2.2	rass_sedation	chartevents	24	22254	209784	10.0	9.42679967646266
MIMIC-IV-2.2	rass_sedation	chartevents	48	22352	335446	14.0	15.00742662848962
MIMIC-IV-2.2	rass_sedation	chartevents	72	22373	415042	16.0	18.551021320341484
MIMIC-IV-2.2	restraints	chartevents	24	10931	468854	36.0	42.89214161558869
MIMIC-IV-2.2	restraints	chartevents	48	11701	782847	43.0	66.90428168532604
MIMIC-IV-2.2	restraints	chartevents	72	12017	1029046	47.0	85.63252059582258
MIMIC-IV-2.2	skin_braden_pressure	chartevents	24	26087	872492	30.0	33.44547092421513
MIMIC-IV-2.2	skin_braden_pressure	chartevents	48	26097	1359707	44.0	52.102042380350234
MIMIC-IV-2.2	skin_braden_pressure	chartevents	72	26100	1682794	50.0	64.47486590038314
MIMIC-IV-2.2	vitals	chartevents	24	26227	4543126	165.0	173.22324322263316
MIMIC-IV-2.2	vitals	chartevents	48	26236	7114375	284.0	271.16843268790973
MIMIC-IV-2.2	vitals	chartevents	72	26241	8705233	307.0	331.7416638085439
