dataset_id	variable_or_event_category	source_table	window_hours	n_stays_with_records	n_records	median_records_per_recorded_stay	mean_records_per_recorded_stay	n_total_stays	n_missing_any_record	missing_any_record_rate
MIMIC-IV-2.2	cam_icu_delirium	chartevents	24	19239	113275	5.0	5.887780030147097	26269	7030	0.26761582092961284
MIMIC-IV-2.2	cam_icu_delirium	chartevents	48	19518	175696	8.0	9.001741981760427	26269	6751	0.2569949369979824
MIMIC-IV-2.2	cam_icu_delirium	chartevents	72	19563	216216	9.0	11.052292593160558	26269	6706	0.2552818912025582
MIMIC-IV-2.2	glucose_check	chartevents	24	25658	173127	4.0	6.7474861641593264	26269	611	0.023259355133427233
MIMIC-IV-2.2	glucose_check	chartevents	48	25704	249899	7.0	9.722183317771552	26269	565	0.021508241653660207
MIMIC-IV-2.2	glucose_check	chartevents	72	25707	296445	8.0	11.531683977126853	26269	562	0.021394038600631923
MIMIC-IV-2.2	mobility_turning	chartevents	24	26131	1091897	42.0	41.78550380773794	26269	138	0.005253340439301078
MIMIC-IV-2.2	mobility_turning	chartevents	48	26137	1783093	69.0	68.22102766193518	26269	132	0.005024934333244508
MIMIC-IV-2.2	mobility_turning	chartevents	72	26139	2226965	77.0	85.19702360457553	26269	130	0.0049487989645589855
MIMIC-IV-2.2	moisture_hygiene	chartevents	24	26047	392862	15.0	15.08281184013514	26269	222	0.008451025924093037
MIMIC-IV-2.2	moisture_hygiene	chartevents	48	26072	628940	23.0	24.12319729978521	26269	197	0.007499333815524002
MIMIC-IV-2.2	moisture_hygiene	chartevents	72	26077	780045	26.0	29.913141849139087	26269	192	0.007308995393810195
MIMIC-IV-2.2	nutrition	chartevents	24	26020	192189	7.0	7.38620292083013	26269	249	0.009478853401347596
MIMIC-IV-2.2	nutrition	chartevents	48	26055	277385	10.0	10.646133179811937	26269	214	0.008146484449350946
MIMIC-IV-2.2	nutrition	chartevents	72	26060	332740	11.0	12.768227168073675	26269	209	0.007956146027637138
MIMIC-IV-2.2	oral_suction_airway	chartevents	24	21245	170661	6.0	8.032995999058603	26269	5024	0.19125204613803343
MIMIC-IV-2.2	oral_suction_airway	chartevents	48	22482	268550	8.0	11.945111644871453	26269	3787	0.14416232060603754
MIMIC-IV-2.2	oral_suction_airway	chartevents	72	22710	327877	9.0	14.437560546014971	26269	3559	0.13548288857588792
MIMIC-IV-2.2	orientation	chartevents	24	26217	1047579	36.0	39.958004348323605	26269	52	0.0019795195858235944
MIMIC-IV-2.2	orientation	chartevents	48	26220	1620991	55.0	61.822692601067885	26269	49	0.0018653165327953102
MIMIC-IV-2.2	orientation	chartevents	72	26221	1973840	63.0	75.27706799893215	26269	48	0.0018272488484525487
MIMIC-IV-2.2	pain	chartevents	24	26117	1235931	42.0	47.32285484550293	26269	152	0.0057862880200997375
MIMIC-IV-2.2	pain	chartevents	48	26125	1977202	68.0	75.68237320574163	26269	144	0.005481746545357646
MIMIC-IV-2.2	pain	chartevents	72	26127	2421139	80.0	92.66808282619512	26269	142	0.005405611176672123
MIMIC-IV-2.2	rass_sedation	chartevents	24	22254	209784	10.0	9.42679967646266	26269	4015	0.15284175263618713
MIMIC-IV-2.2	rass_sedation	chartevents	48	22352	335446	14.0	15.00742662848962	26269	3917	0.14911111957059653
MIMIC-IV-2.2	rass_sedation	chartevents	72	22373	415042	16.0	18.551021320341484	26269	3896	0.14831169819939852
MIMIC-IV-2.2	restraints	chartevents	24	10931	468854	36.0	42.89214161558869	26269	15338	0.5838821424492748
MIMIC-IV-2.2	restraints	chartevents	48	11701	782847	43.0	66.90428168532604	26269	14568	0.5545700255053485
MIMIC-IV-2.2	restraints	chartevents	72	12017	1029046	47.0	85.63252059582258	26269	14252	0.5425406372530359
MIMIC-IV-2.2	skin_braden_pressure	chartevents	24	26087	872492	30.0	33.44547092421513	26269	182	0.00692831855038258
MIMIC-IV-2.2	skin_braden_pressure	chartevents	48	26097	1359707	44.0	52.102042380350234	26269	172	0.006547641706954966
MIMIC-IV-2.2	skin_braden_pressure	chartevents	72	26100	1682794	50.0	64.47486590038314	26269	169	0.0064334386539266816
MIMIC-IV-2.2	vitals	chartevents	24	26227	4543126	165.0	173.22324322263316	26269	42	0.00159884274239598
MIMIC-IV-2.2	vitals	chartevents	48	26236	7114375	284.0	271.16843268790973	26269	33	0.001256233583311127
MIMIC-IV-2.2	vitals	chartevents	72	26241	8705233	307.0	331.7416638085439	26269	28	0.00106589516159732
