dataset_id	landmark_hours	feature	nonmissing	nonzero	mean	median	p25	p75	max
MIMIC-IV-2.2	24	nursing_cam_icu_delirium_n_records_24h	21147	15822	4.62533692722372	4.0	0.0	7.0	46.0
MIMIC-IV-2.2	24	nursing_glucose_check_n_records_24h	21147	21037	7.485411642313331	5.0	3.0	9.0	52.0
MIMIC-IV-2.2	24	nursing_mobility_turning_n_records_24h	21147	21109	45.08753014612002	45.0	37.0	53.0	117.0
MIMIC-IV-2.2	24	nursing_moisture_hygiene_n_records_24h	21147	21094	16.126069891710408	16.0	12.0	20.0	77.0
MIMIC-IV-2.2	24	nursing_nutrition_n_records_24h	21147	21061	7.609637300799168	7.0	5.0	9.0	59.0
MIMIC-IV-2.2	24	nursing_oral_suction_airway_n_records_24h	21147	18128	7.524944436563106	5.0	1.0	11.0	59.0
MIMIC-IV-2.2	24	nursing_orientation_n_records_24h	21147	21140	43.159171513689884	39.0	28.0	52.5	278.0
MIMIC-IV-2.2	24	nursing_pain_n_records_24h	21147	21105	50.449898330732495	45.0	30.0	65.0	242.0
MIMIC-IV-2.2	24	nursing_rass_sedation_n_records_24h	21147	18165	8.606752730883814	9.0	6.0	12.0	46.0
MIMIC-IV-2.2	24	nursing_restraints_n_records_24h	21147	10000	21.098973849718636	0.0	0.0	36.0	211.0
MIMIC-IV-2.2	24	nursing_skin_braden_pressure_n_records_24h	21147	21105	35.79396604719346	32.0	24.0	41.0	531.0
MIMIC-IV-2.2	24	nursing_vitals_n_records_24h	21147	21112	187.0896108195016	173.0	154.0	207.0	5362.0
MIMIC-IV-2.2	24	nursing_cam_icu_delirium_n_numeric_24h	21147	14112	2.4592613609495437	2.0	0.0	4.0	36.0
MIMIC-IV-2.2	24	nursing_glucose_check_n_numeric_24h	21147	21035	7.469995744077174	5.0	3.0	9.0	52.0
MIMIC-IV-2.2	24	nursing_mobility_turning_n_numeric_24h	21147	21002	7.907457322551662	6.0	3.0	12.0	43.0
MIMIC-IV-2.2	24	nursing_moisture_hygiene_n_numeric_24h	21147	8052	0.5900127677684778	0.0	0.0	1.0	10.0
MIMIC-IV-2.2	24	nursing_nutrition_n_numeric_24h	21147	14436	1.528727479075046	1.0	0.0	2.0	16.0
MIMIC-IV-2.2	24	nursing_oral_suction_airway_n_numeric_24h	21147	8016	1.0581169905896817	0.0	0.0	1.0	14.0
MIMIC-IV-2.2	24	nursing_orientation_n_numeric_24h	21147	21136	36.34439873268076	32.0	22.0	44.0	278.0
MIMIC-IV-2.2	24	nursing_pain_n_numeric_24h	21147	19513	7.452782900647846	6.0	3.0	10.0	84.0
MIMIC-IV-2.2	24	nursing_rass_sedation_n_numeric_24h	21147	18165	8.601740199555492	9.0	6.0	12.0	46.0
MIMIC-IV-2.2	24	nursing_restraints_n_numeric_24h	21147	46	0.007093204709887928	0.0	0.0	0.0	13.0
MIMIC-IV-2.2	24	nursing_skin_braden_pressure_n_numeric_24h	21147	21095	23.645623492694	24.0	18.0	30.0	123.0
MIMIC-IV-2.2	24	nursing_vitals_n_numeric_24h	21147	21112	174.1270629403698	161.0	144.0	192.0	5350.0
MIMIC-IV-2.2	24	nursing_cam_icu_delirium_mean_valuenum_24h	14112	5594	0.25182930807695403	0.0	0.0	0.5	1.0
MIMIC-IV-2.2	24	nursing_glucose_check_mean_valuenum_24h	21035	21035	268.0343653980184	130.5	114.10025062656642	155.0	500048.5
MIMIC-IV-2.2	24	nursing_mobility_turning_mean_valuenum_24h	21002	13263	1.3021291233110242	0.6	0.0	1.6666666666666667	151.03703703703704
MIMIC-IV-2.2	24	nursing_moisture_hygiene_mean_valuenum_24h	8052	8016	2857.423847112962	1.0046666666666668	1.0	1.016	999999.0
MIMIC-IV-2.2	24	nursing_nutrition_mean_valuenum_24h	14436	8525	1.6493013222153912	1.0	0.0	1.0	152.0
MIMIC-IV-2.2	24	nursing_oral_suction_airway_mean_valuenum_24h	8016	7918	0.9886702874913953	1.0	1.0	1.0	3.0
MIMIC-IV-2.2	24	nursing_orientation_mean_valuenum_24h	21136	20791	40.6838245416011	1.2884615384615383	0.9333333333333332	1.8535337022132798	66667.06666666667
MIMIC-IV-2.2	24	nursing_pain_mean_valuenum_24h	19513	14335	1.7603069464554222	1.0	0.0	3.0	130.6
MIMIC-IV-2.2	24	nursing_rass_sedation_mean_valuenum_24h	18165	11614	-0.27606280382347465	0.0	-0.4	0.0	5.0
MIMIC-IV-2.2	24	nursing_restraints_mean_valuenum_24h	46	26	0.513768115942029	0.6666666666666666	0.0	1.0	1.0
MIMIC-IV-2.2	24	nursing_skin_braden_pressure_mean_valuenum_24h	21095	21069	2.347218180965559	2.35	2.083333333333333	2.611111111111111	9.229787234042554
MIMIC-IV-2.2	24	nursing_vitals_mean_valuenum_24h	21112	21112	74.2264354282468	72.16491801848943	67.10450213509316	77.88470961887478	7115.073684210527
MIMIC-IV-2.2	24	nursing_cam_icu_delirium_min_valuenum_24h	14112	1142	0.08092403628117914	0.0	0.0	0.0	1.0
MIMIC-IV-2.2	24	nursing_glucose_check_min_valuenum_24h	21035	21023	108.86979415260281	103.0	88.0	125.0	1016.0
