dataset_id	feature_set	algorithm	number_of_classes	n_features	aic	bic	inertia	silhouette	mean_assignment_confidence_proxy	min_class_proportion	selection_eligible	selection_flag
MIMIC-IV-2.2	nursing_vulnerability_only	GaussianMixture_diag	2	21	328621.51867819927	329228.62120589666		0.17785851802294464	0.9999999999501714	0.4995183559884405	True	False
MIMIC-IV-2.2	nursing_vulnerability_only	GaussianMixture_diag	3	21	260692.92105976288	261607.14604264838		0.21721730144521537	0.999984198797126	0.1773520282564487	True	True
MIMIC-IV-2.2	nursing_vulnerability_only	GaussianMixture_diag	4	21	216779.41151970287	218000.75895777647		0.22318978811642115	0.9999489010517136	0.004067216097613186	False	False
MIMIC-IV-2.2	nursing_vulnerability_only	GaussianMixture_diag	5	21	189280.78992112435	190809.25981438605		0.16323876171097113	0.9997890561702216	0.004067216097613186	False	False
MIMIC-IV-2.2	nursing_vulnerability_only	KMeans	2	21			157532.68248112628	0.21267260474751337	0.23487615471838408	0.45627742695065826	True	True
MIMIC-IV-2.2	nursing_vulnerability_only	KMeans	3	21			122993.74941229727	0.21553758802749332	0.23652712667880316	0.003960184095044418	False	False
MIMIC-IV-2.2	nursing_vulnerability_only	KMeans	4	21			102787.10849593027	0.24859388580428152	0.25320745129545835	0.003960184095044418	False	False
MIMIC-IV-2.2	nursing_vulnerability_only	KMeans	5	21			92977.03129917898	0.20130576601984362	0.2655949672372757	0.003960184095044418	False	False
MIMIC-IV-2.2	care_process_day_night_only	GaussianMixture_diag	2	11	231745.57429534296	232066.98151588865		0.7270865930891337	0.9976964747623045	0.01551964037247137	False	False
MIMIC-IV-2.2	care_process_day_night_only	GaussianMixture_diag	3	11	182205.0787553608	182690.7607775187		0.30561969234753716	0.9804324028807659	0.015733704377608904	False	False
MIMIC-IV-2.2	care_process_day_night_only	GaussianMixture_diag	4	11	162231.0498670633	162881.00669083346		0.18966947369712087	0.9663444524499405	0.01487744835705876	False	False
MIMIC-IV-2.2	care_process_day_night_only	GaussianMixture_diag	5	11	150398.11854804488	151212.3501734273		0.14471480256823616	0.9593343323641083	0.01327196831852724	False	False
MIMIC-IV-2.2	care_process_day_night_only	KMeans	2	11			65526.602630814275	0.9087257959635914	0.3362992922470845	0.004067216097613186	False	False
MIMIC-IV-2.2	care_process_day_night_only	KMeans	3	11			43599.925235831484	0.3196439918735969	0.38552038041613085	0.003960184095044418	False	False
MIMIC-IV-2.2	care_process_day_night_only	KMeans	4	11			36477.16767078012	0.2762180792334884	0.4068880159397946	0.004067216097613186	False	False
MIMIC-IV-2.2	care_process_day_night_only	KMeans	5	11			31541.668860891023	0.250937332912994	0.42560307503765155	0.003960184095044418	False	False
MIMIC-IV-2.2	joint_nursing_care_process	GaussianMixture_diag	2	32	595596.4627478467	596517.8301134111		0.16387005714817818	0.9999999521866411	0.4995183559884405	True	True
MIMIC-IV-2.2	joint_nursing_care_process	GaussianMixture_diag	3	32	496549.41074349405	497935.0329831799		0.16938683785724426	0.9996947327200052	0.004067216097613186	False	False
MIMIC-IV-2.2	joint_nursing_care_process	GaussianMixture_diag	4	32	429057.022134203	430906.89924801036		0.19101966296373626	0.9995089655406044	0.004067216097613186	False	False
MIMIC-IV-2.2	joint_nursing_care_process	GaussianMixture_diag	5	32	400964.0735533161	403278.20554124506		0.1306441268534082	0.9906606016948474	0.004067216097613186	False	False
MIMIC-IV-2.2	joint_nursing_care_process	KMeans	2	32			224433.25492775853	0.8651576906605462	0.18500094178441656	0.003960184095044418	False	False
MIMIC-IV-2.2	joint_nursing_care_process	KMeans	3	32			170279.35473994684	0.22222359038575076	0.20833433817921287	0.003960184095044418	False	False
MIMIC-IV-2.2	joint_nursing_care_process	KMeans	4	32			151884.6306640549	0.22069695478149617	0.21893539447171673	0.003960184095044418	False	False
MIMIC-IV-2.2	joint_nursing_care_process	KMeans	5	32			139126.92916592275	0.16590729430188392	0.228207978981622	0.003960184095044418	False	False
